EST_ST,REGION,EEDUC,RECVDVACC,NUMDOSES,BRAND,GETVACRV
9,1,6,1,3,1,-88
9,1,3,1,3,2,-88
9,1,4,1,3,1,-88
9,1,6,1,2,2,-88
9,1,3,1,3,1,-88
9,1,4,1,3,1,-88
9,1,6,1,2,1,-88
9,1,7,1,3,1,-88
9,1,6,2,-88,-88,5
9,1,4,1,2,1,-88
9,1,5,1,1,4,-88
9,1,4,1,2,2,-88
37,2,7,1,3,1,-88
10,2,6,1,3,1,-88
10,2,7,2,-88,-88,2
10,2,6,1,2,2,-88
10,2,3,1,3,2,-88
10,2,6,1,3,1,-88
10,2,3,1,2,2,-88
10,2,7,1,3,1,-88
10,2,6,1,3,1,-88
10,2,4,1,2,3,-88
10,2,3,1,3,1,-88
29,3,4,1,1,3,-88
10,2,5,1,3,1,-88
10,2,6,1,3,2,-88
12,2,2,1,1,3,-88
12,2,7,1,3,2,-88
12,2,6,1,3,2,-88
12,2,6,1,2,2,-88
12,2,7,1,3,1,-88
12,2,5,1,3,2,-88
12,2,3,2,-88,-88,3
36,1,6,1,2,1,-88
12,2,3,1,2,1,-88
12,2,5,2,-88,-88,5
12,2,3,1,2,2,-88
17,3,4,1,3,1,-88
12,2,6,1,2,2,-88
12,2,7,1,3,2,-88
12,2,4,1,3,1,-88
12,2,1,1,2,2,-88
12,2,7,1,3,1,-88
12,2,5,1,2,1,-88
12,2,5,1,2,1,-88
12,2,4,1,3,1,-88
12,2,7,1,3,2,-88
12,2,6,1,3,2,-88
13,2,6,1,2,2,-88
6,4,7,1,3,2,-88
13,2,7,1,3,1,-88
13,2,6,1,2,2,-88
15,4,3,2,-88,-88,3
13,2,3,2,-88,-88,3
42,1,7,1,3,1,-88
13,2,3,1,2,1,-88
13,2,7,1,2,2,-88
13,2,7,1,3,1,-88
13,2,7,2,-88,-88,5
13,2,7,1,3,1,-88
47,2,4,2,-88,-88,3
13,2,7,1,3,2,-88
13,2,3,2,-88,-88,3
13,2,4,1,2,2,-88
15,4,4,1,2,1,-88
15,4,7,1,2,3,-88
15,4,4,1,3,2,-88
53,4,4,1,3,2,-88
15,4,3,2,-88,-88,5
15,4,5,1,2,1,-88
15,4,5,1,3,1,-88
36,1,3,1,3,1,-88
15,4,4,1,3,1,-88
48,2,7,1,3,1,-88
15,4,4,1,2,2,-88
15,4,7,1,2,3,-88
15,4,7,1,2,3,-88
15,4,4,1,2,1,-88
16,4,7,1,3,1,-88
